dish_id,dish_hanzi,dish_english,dish_pinyin
0,麻婆豆腐,Mapo Tofu,ma2 po2 dou4 fu3
1,家常豆腐,Home style sauteed Tofu,jia1 chang2 dou4 fu3
2,煎豆腐,Fried Tofu,jian1 dou4 fu3
3,豆腐花,Bean curd,dou4 fu3 hua1
4,臭豆腐,Stinky tofu,chou4 dou4 fu3
5,酸辣土豆丝,Potato silk,suan1 la4 tu3 dou4 si1
6,土豆泥,Pan fried potato,tu3 dou4 ni2
7,香煎土豆,Pan fried potato,xiang1 jian1 tu3 dou4
8,土豆焖豆角,Braised beans with potato,tu3 dou4 men4 dou4 jiao3
9,地三鲜,"Fried Potato, Green Pepper & Eggplant",di4 san1 xian1
10,薯条,French fries,shu3 tiao2
11,鱼香茄子,Yu-Shiang Eggplant,yu2 xiang1 qie2 zi
12,蒜泥茄子,Mashed garlic eggplant,suan4 ni2 qie2 zi
13,肉末茄子,Eggplant with mince pork,rou4 mo4 qie2 zi
14,辣白菜,Spicy cabbage,la4 bai2 cai4
15,醋溜白菜,Sour cabbage,cu4 liu1 bai2 cai4
16,上汤娃娃菜,Steamed Baby Cabbage,shang4 tang1 wa2 wa2 cai4
17,手撕包菜,Shredded cabbage,shou3 si1 bao1 cai4
18,蚝油生菜,Sauteed Lettuce in Oyster Sauce,hao2 you2 sheng1 cai4
19,炒青菜,Saute vegetable,chao3 qing1 cai4
20,炒空心菜,tumis kangkung,chao3 kong1 xin1 cai4
21,蒜蓉油麦菜,Lettuce with smashed garlic,suan4 rong2 you2 mai4 cai4
22,清炒菠菜,Sauteed spainch,qing1 chao3 bo1 cai4
23,炒豆芽,Sauteed bean sprouts,chao3 dou4 ya2
24,炒蚕豆,Sauteed broad beans,chao3 can2 dou4
25,毛豆,Soybean,mao2 dou4
26,蚝油西兰花,Broccoli with Oyster Sauce,hao2 you2 xi1 lan2 hua1
27,香煎藕盒,Deep Fried lotus root,xiang1 jian1 ou3 he2
28,莲藕,Lotus root,lian2 ou3
29,凉拌西红柿,Tomato salad,liang2 ban4 xi1 hong2 shi4
30,鸡鸭胗,Gizzard,ji1 ya1 zhen1
31,凉拌木耳,Black Fungus in Vinegar Sauce,liang2 ban4 mu4 er3
32,口水黄瓜,Cucumber in Sauce,kou3 shui3 huang2 gua1
33,花生米,peanut,hua1 sheng1 mi3
34,凉拌海带丝,Seaweed salad,liang2 ban4 hai3 dai4 si1
35,拔丝山药,Chinese Yam in Hot Toffee,ba2 si1 shan1 yao4
36,清炒山药,Fried Yam,qing1 chao3 shan1 yao4
37,干煸豆角,Fried beans,gan4 bian1 dou4 jiao3
38,蚝油杏鲍菇,Oyster mushroom,hao2 you2 xing4 bao4 gu1
39,酿苦瓜,stuffed bitter melon,niang4 ku3 gua1
40,炒苦瓜,sauteed bitter melon,chao3 ku3 gua1
41,虎皮青椒,pepper with tiger skin,hu3 pi2 qing1 jiao1
42,凉拌腐竹,Yuba salad,liang2 ban4 fu3 zhu2
43,炒花菜,fried cauliflower,chao3 hua1 cai4
44,松仁玉米,Sauteed Sweet Corn with Pine Nuts,song1 ren2 yu4 mi3
45,香菇青菜,Sauted Chinese Greens with Mushrooms,xiang1 gu1 qing1 cai4
46,椒盐蘑菇,Spiced mushroom,jiao1 yan2 mo2 gu1
47,芹菜香干,Celery and tofu,qin2 cai4 xiang1 gan1
48,西芹百合,Sauteed Lily Bulbs and Celery,xi1 qin2 bai3 he2
49,韭菜炒香干,Leak and tofu,jiu3 cai4 chao3 xiang1 gan1
50,西红柿炒鸡蛋,Scrambled egg with tomato,xi1 hong2 shi4 chao3 ji1 dan4
51,韭菜炒鸡蛋,Scrambled Egg with Leek,jiu3 cai4 chao3 ji1 dan4
52,黄瓜炒鸡蛋,Scrambled Egg with cucumber,huang2 gua1 chao3 ji1 dan4
53,鸡蛋羹,Steamed egg custard,ji1 dan4 geng1
54,猪肝,Pork liver,zhu1 gan1
55,猪耳朵,Pig ears,zhu1 er3 duo3
56,叉烧,roast pork,cha1 shao1
57,粉蒸排骨,Steamed pork with rice powder,fen3 zheng1 pai2 gu3
58,糖醋排骨,Sweet and sour spareribs,tang2 cu4 pai2 gu3
59,海带炖排骨,Braised spareribs with kelp,hai3 dai4 dun4 pai2 gu3
60,可乐鸡翅,Cola Chicken wings,ke3 le4 ji1 chi4
61,泡椒凤爪,Chicken Feet with Pickled Peppers,pao4 jiao1 feng4 zhao3
62,红烧鸡爪,Chicken Feet with black bean sauce,hong2 shao1 ji1 zhao3
63,口水鸡,Steamed Chicken with Chili Sauce,kou3 shui3 ji1
64,烤鸭烧鹅,Roast goose,kao3 ya1 shao1 e2
65,白斩鸡,Boiled chicken,bai2 zhan3 ji1
66,大盘鸡,Saute Spicy Chicken,da4 pan2 ji1
67,香菇蒸鸡,Steamed Chicken with Mushroom,xiang1 gu1 zheng1 ji1
68,黄焖鸡,chicken braised with brown sauce,huang2 men4 ji1
69,豉油鸡,Soy sauce chicken,shi4 you2 ji1
70,辣子鸡,Spicy Chicken,la4 zi ji1
71,宫保鸡丁,Kung Pao Chicken,gong1 bao3 ji1 ding1
72,三杯鸡,Stewed Chicken with Three Cups Sauce,san1 bei1 ji1
73,鸡丝、鸡丝面,Shredded chicken,ji1 si1 、 ji1 si1 mian4
74,炸鸡腿,Fried chicken drumsticks,zha4 ji1 tui3
75,啤酒鸭,Beer duck,pi2 jiu3 ya1
76,腰花,Scalloped pork or lamb kidneys,yao1 hua1
77,红烧肉,Braised pork,hong2 shao1 rou4
78,红烧牛肉,Braised beef,hong2 shao1 niu2 rou4
79,酱牛肉,Beef Seasoned with Soy Sauce,jiang4 niu2 rou4
80,西红柿牛腩,Sirloin tomatoes,xi1 hong2 shi4 niu2 nan3
81,土豆炖牛腩,Stewed sirloin potatoes,tu3 dou4 dun4 niu2 nan3
82,杭椒牛柳,Sauteed Beef Fillet with Hot Green Pepper,hang2 jiao1 niu2 liu3
83,梅菜扣肉,Pork with salted vegetable,mei2 cai4 kou4 rou4
84,回锅肉,Double cooked pork slices,hui2 guo1 rou4
85,猪肉炖粉条,Braised Pork with Vermicelli,zhu1 rou4 dun4 fen3 tiao2
